抑郁症超话,抑郁症:  因为有一个很重要的考试，元旦过后就要去集训了，但是我一想到要面对那么多老师同学，要无数次地使自信心跌落谷底，不能按照自己的方式生活，我就非常恐慌焦虑，想zc，怎么办没人能理解我，如果我说不去的话他们只会骂我…… ,,f,,,,,,,,,
抑郁症超话,抑郁症: 有的事情一想起来就想zc负罪感很重 ,,m,,,,,,,,,
抑郁症超话,抑郁症: 可不可以陪我聊聊天啊 我知道跟别人吐槽负面情绪不好可我真的除了zc zs找不到发泄的办法了 ,,f,,,,,,,,,
抑郁症超话,抑郁症:  想zc了怎么办 第一次产生这样的想法 又加重了吗 ,,f,,,,,,,,,
抑郁症超话,抑郁症: 控制不住暴食 控制不住zc 我好像真的要不行了…如果可以我们好好告个别吧… ,,f,,,,,,,,,
抑郁症超话,抑郁症:  好累啊！真的很想zc！！！快点结束吧 ,,m,,,,,,,,,
抑郁症超话,“喝酒有什么好的？”是没什么好的，只是没人说也没人愿意听更没人理解还被人讨厌，那我总得找个发泄的出口吧？我又不会影响别人的，zc，喝酒，抽烟都可以，反正我不重要，又是废物。 ,,f,,,,,,,,,
抑郁症超话,抑郁症:  喝酒了 喝了很多 不能zc 的日子里，这算不算也是自虐 重庆 ,,f,,,,,,,,,
抑郁症超话,抑郁症:    我挺怕疼的，但只有zc能让我心里舒服点了…… ,,f,,,,,,,,,
抑郁症超话,抑郁症: 发疯的时候 自己摔的东西 踢的东西 最后都要自己灰溜溜的捡回来 zc的时候 也要自己包扎处理 想要zs的时候要告诫自己死不了 而且会被他们骂一顿 好不容易觉得自己心情好点了 老天爷就看不下去 就要搅和一下 为什么为什么 ,,f,,,,,,,,,
抑郁症超话超话,抑郁症超话: 昨天又一次情绪崩溃了，zc的时候血止不住往下滴，也不知道能不能活到十八岁。 ,,f,,,,,,,,,
抑郁症超话,抑郁症:  今天考试 考砸了 之前为这次考试付出了很多很多 但是应该还是会挂科吧 中午忍不住zc了下午回到宿舍 我妈给我打电话 说我外公不在了我好难过 我不想听什么大道理 这里的小伙伴应该会懂我的吧 ,,f,,,,,,,,,
抑郁症超话,抑郁症: 要告诉医生自己zc吗？如果医生说要看要给他看吗？ ,,f,,,,,,,,,
